Id,Predicted
1,0
2,1
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,0
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,0
180,1
181,1
182,1
183,0
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,1
204,1
205,0
206,0
207,1
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,1
222,1
223,0
224,0
225,1
226,1
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,1
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,1
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,0
415,1
416,0
417,0
418,0
419,0
