Id,Predicted
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,0
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,0
101,0
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,1
173,0
174,0
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,0
272,1
273,1
274,1
275,0
276,0
277,0
278,0
279,0
